Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,ROCK TYPE,AGE (MIN.),AGE (MAX.),SIO2(WT%),TIO2(WT%),AL2O3(WT%),FE2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),P2O5,Unnamed: 17,Age_Median,Source
2008, [12604] ROUCHON V. (2008),samp. KG0,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,94.53,0.2,3.89,,0.0,0.0,0.0,1.13,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG1,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,94.62,0.19,3.81,,0.0,0.0,0.0,1.12,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG2-3,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,94,0.22,4.26,,0.0,0.0,0.0,1.23,0.03,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG4,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,99.23,0,0.4,,0.0,0.0,0.0,0.13,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG5,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,92.36,0.28,5.51,,0.0,0.0,0.0,1.59,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG6,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,96.28,0.09,2.63,,0.0,0.0,0.0,0.78,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG7,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,96.3,0.1,2.57,,0.0,0.0,0.0,0.79,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG8,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,94.62,0.13,3.78,,0.0,0.0,0.0,1.19,0.0,,3350000000.0,Pilbara
2008, [12604] ROUCHON V. (2008),samp. KG9,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - KITTYS GAP CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,91.7,0.29,5.99,,0.0,0.0,0.0,1.74,0.0,,3350000000.0,Pilbara
2020, [28610] TUSCH J. (2020),samp. PIL 16-62B,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - COONGAN SUBGROUP/DUFFER FORMATI,SEDIMENTARY ROCK,3461000000.0,3471000000.0,73.44748,0.00362,0.36787,,0.10454,0.05039,0.00693,0.00322,0.04584,,3466000000.0,Pilbara
2020, [28610] TUSCH J. (2020),samp. PIL 16-50B,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / SOANESVILLE GROUP - PADDY MARKET FORMATION,SEDIMENTARY ROCK,3190000000.0,3190000000.0,55.42816,0.74358,25.65662,,0.04631,0.96785,0.02091,5.72394,0.0439,,3190000000.0,Pilbara
2020, [28610] TUSCH J. (2020),samp. PIL 16-38B,,WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / FORTESCUE GROUP - HARDEY FORMATION,SEDIMENTARY ROCK,2756000000.0,2766000000.0,57.97628,0.72918,23.14385,,0.17303,2.61868,0.02324,3.50703,0.04577,,2761000000.0,Pilbara
